cpu_times-user,cpu_times-system,cpu_times-children_user,cpu_times-children_system,cpu_times-iowait,memory_full_info-rss,memory_full_info-vms,memory_full_info-shared,memory_full_info-text,memory_full_info-lib,memory_full_info-data,memory_full_info-dirty,memory_full_info-uss,memory_full_info-pss,memory_full_info-swap,memory_percent,cpu_percent
0.0,0.0,0.0,0.0,0.0,786432,10223616,786432,2818048,0,843776,0,217088,236544,0,0.004794843146196266,0.0
0.09,0.0,0.0,0.0,0.0,24117248,34938880,6160384,2818048,0,19832832,0,17948672,18646016,0,0.14704185648335216,89.4
0.19,0.0,0.0,0.0,0.0,41287680,52318208,6160384,2818048,0,37212160,0,35115008,35812352,0,0.251729265175304,99.2
0.29,0.0,0.0,0.0,0.0,58458112,69967872,6160384,2818048,0,54861824,0,52318208,53015552,0,0.3564166738672558,99.1
0.39,0.01,0.0,0.0,0.0,76021760,87490560,6160384,2818048,0,72384512,0,69775360,70472704,0,0.46350150413230573,108.7
0.48,0.01,0.0,0.0,0.0,93585408,105762816,6160384,2818048,0,90656768,0,87306240,88003584,0,0.5705863343973556,88.8
0.58,0.01,0.0,0.0,0.0,110886912,123944960,6160384,2818048,0,108838912,0,104710144,105407488,0,0.6768720241380396,98.5
0.68,0.02,0.0,0.0,0.0,128188416,140288000,6160384,2818048,0,125181952,0,121987072,122684416,0,0.7823585733543574,108.2
0.77,0.02,0.0,0.0,0.0,145096704,156966912,6160384,2818048,0,141860864,0,138756096,139453440,0,0.884648560473211,88.4
0.87,0.03,0.0,0.0,0.0,162267136,174026752,6160384,2818048,0,158920704,0,156004352,156701696,0,0.9893359691651629,107.9
0.97,0.03,0.0,0.0,0.0,179437568,192565248,6160384,2818048,0,177459200,0,123584512,124265472,0,1.0940233778571147,98.5
1.07,0.03,0.0,0.0,0.0,198836224,211587072,6160384,2818048,0,196481024,0,192454656,193152000,0,1.2122961754632893,98.2
1.17,0.03,0.0,0.0,0.0,219152384,233246720,6160384,2818048,0,218140672,0,212713472,213410816,0,1.336162956740026,98.0
1.28,0.03,0.0,0.0,0.0,239468544,255516672,6160384,2818048,0,240410624,0,233152512,233849856,0,1.460029738016763,107.7
1.37,0.03,0.0,0.0,0.0,259784704,278474752,6160384,2818048,0,263368704,0,233644032,234317824,0,1.5838965192934997,88.2
1.47,0.04,0.0,0.0,0.0,280231936,294203392,6160384,2818048,0,279097344,0,273821696,274519040,0,1.7085624410946028,107.5
1.57,0.04,0.0,0.0,0.0,300810240,317931520,6160384,2818048,0,302825472,0,294412288,295109632,0,1.834027503420072,97.6
1.66,0.05,0.0,0.0,0.0,321388544,334708736,6160384,2818048,0,319602688,0,314970112,315667456,0,1.9594925657455404,97.5
1.76,0.05,0.0,0.0,0.0,342360064,359309312,6160384,2818048,0,344203264,0,335855616,336552960,0,2.0873550496441076,97.4
1.86,0.06,0.0,0.0,0.0,363462656,384884736,6160384,2818048,0,369778688,0,357003264,357700608,0,2.216016674067041,107.0
1.96,0.06,0.0,0.0,0.0,384434176,401661952,6160384,2818048,0,386555904,0,377974784,378672128,0,2.343879157965608,97.2
2.06,0.06,0.0,0.0,0.0,405274624,418439168,6160384,2818048,0,403333120,0,398794752,399492096,0,2.470942501339809,97.2
2.16,0.07,0.0,0.0,0.0,426377216,445116416,6160384,2818048,0,430010368,0,419913728,420611072,0,2.5996041257627422,106.5
2.26,0.07,0.0,0.0,0.0,447348736,462942208,6160384,2818048,0,447836160,0,410103808,410798080,0,2.727466609661309,97.1
2.36,0.07,0.0,0.0,0.0,468058112,490856448,6160384,2818048,0,475750400,0,293515264,294189056,0,2.8537308125111442,97.7
2.45,0.08,0.0,0.0,0.0,489291776,507633664,6160384,2818048,0,492527616,0,482820096,483517440,0,2.9831915774584434,96.9
2.55,0.09,0.0,0.0,0.0,510525440,524410880,6160384,2818048,0,509304832,0,504004608,504701952,0,3.1126523424057426,106.4
2.65,0.09,0.0,0.0,0.0,531234816,554766336,6160384,2818048,0,539660288,0,504823808,505497600,0,3.2389165452555777,96.7
2.74,0.11,0.0,0.0,0.0,551813120,571543552,6160384,2818048,0,556437504,0,466124800,466805760,0,3.364381607581047,106.6
2.84,0.11,0.0,0.0,0.0,572522496,588320768,6160384,2818048,0,573214720,0,486748160,487429120,0,3.4906458104308813,96.9
2.94,0.11,0.0,0.0,0.0,593100800,619192320,6160384,2818048,0,604086272,0,586588160,587285504,0,3.6161108727563507,96.2
3.03,0.12,0.0,0.0,0.0,613679104,634920960,6160384,2818048,0,619814912,0,607387648,608084992,0,3.741575935081819,96.3
3.13,0.13,0.0,0.0,0.0,634388480,652746752,6160384,2818048,0,637640704,0,597057536,597738496,0,3.8678401379316543,106.1
3.23,0.13,0.0,0.0,0.0,654966784,685383680,6160384,2818048,0,670277632,0,569405440,570086400,0,3.993305200257123,96.7
3.33,0.13,0.0,0.0,0.0,675676160,702160896,6160384,2818048,0,687054848,0,543240192,543913984,0,4.119569403106958,96.8
3.43,0.14,0.0,0.0,0.0,696254464,718938112,6160384,2818048,0,703832064,0,563867648,564541440,0,4.245034465432427,106.1
3.53,0.14,0.0,0.0,0.0,716963840,735715328,6160384,2818048,0,720609280,0,509759488,510440448,0,4.371298668282263,96.6
3.63,0.14,0.0,0.0,0.0,737542144,770330624,6160384,2818048,0,755224576,0,530423808,531104768,0,4.496763730607731,96.4
3.72,0.15,0.0,0.0,0.0,758120448,787107840,6160384,2818048,0,772001792,0,551018496,551699456,0,4.6222287929332,96.4
3.81,0.16,0.0,0.0,0.0,778829824,803885056,6160384,2818048,0,788779008,0,571559936,572240896,0,4.748492995783035,96.3
3.91,0.17,0.0,0.0,0.0,799408128,820662272,6160384,2818048,0,805556224,0,592179200,592860160,0,4.873958058108505,106.2
4.01,0.17,0.0,0.0,0.0,819986432,857509888,6160384,2818048,0,842403840,0,782426112,783107072,0,4.999423120433973,95.7
4.12,0.17,0.0,0.0,0.0,840957952,874287104,6160384,2818048,0,859181056,0,784420864,785094656,0,5.12728560433254,105.4
4.22,0.17,0.0,0.0,0.0,861929472,891064320,6160384,2818048,0,875958272,0,775806976,776487936,0,5.255148088231108,95.3
4.32,0.18,0.0,0.0,0.0,882900992,907841536,6160384,2818048,0,892735488,0,844877824,845558784,0,5.383010572129675,104.8
4.42,0.18,0.0,0.0,0.0,903741440,924618752,6160384,2818048,0,909512704,0,865837056,866518016,0,5.510873056028242,95.2
4.52,0.18,0.0,0.0,0.0,924581888,963973120,6160384,2818048,0,948867072,0,886976512,887657472,0,5.637137258878076,95.4
4.63,0.18,0.0,0.0,0.0,945291264,980750336,6160384,2818048,0,965644288,0,738041856,738722816,0,5.763401461727911,105.2
4.72,0.19,0.0,0.0,0.0,965869568,997527552,6160384,2818048,0,982421504,0,758558720,759239680,0,5.88886652405338,95.9
4.82,0.19,0.0,0.0,0.0,986447872,1014304768,6160384,2818048,0,999198720,0,779218944,779899904,0,6.01433158637885,95.9
4.92,0.2,0.0,0.0,0.0,1007157248,1031081984,6160384,2818048,0,1015975936,0,921276416,921957376,0,6.140595789228684,104.9
5.01,0.21,0.0,0.0,0.0,1027735552,1047859200,6160384,2818048,0,1032753152,0,820576256,821270528,0,6.266060851554153,95.3
5.12,0.21,0.0,0.0,0.0,1048313856,1090035712,6160384,2818048,0,1074929664,0,1030201344,1030882304,0,6.3923250544039885,103.8
5.22,0.22,0.0,0.0,0.0,1069023232,1105764352,6160384,2818048,0,1090658304,0,1062137856,1062835200,0,6.517790116729458,103.6
5.32,0.22,0.0,0.0,0.0,1089601536,1123590144,6160384,2818048,0,1108484096,0,882323456,883004416,0,6.6432551790549255,95.1
5.42,0.23,0.0,0.0,0.0,1110310912,1140367360,6160384,2818048,0,1125261312,0,1053831168,1054504960,0,6.769519381904761,104.3
